t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1542,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1543,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1544,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1545,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1546,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1547,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1548,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1549,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1550,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1551,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1552,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1553,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1554,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1555,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1556,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1557,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1558,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1559,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1560,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1561,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1562,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1563,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1564,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1565,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1566,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1567,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1568,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1569,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1570,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1571,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1572,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1573,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1574,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1575,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
