region,day,month,number
"Rural Village, Hamlet and Isolated Dwelling",Monday,September,1.1384466939331972
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,September,1.047474926153147
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,September,1.10985556691661
"Rural Village, Hamlet and Isolated Dwelling",Thursday,September,1.2502120086344013
"Rural Village, Hamlet and Isolated Dwelling",Friday,September,1.1774345944103615
"Rural Village, Hamlet and Isolated Dwelling",Saturday,September,0.9694991251988185
"Rural Village, Hamlet and Isolated Dwelling",Sunday,September,0.7537660758918429
"Rural Village, Hamlet and Isolated Dwelling",Monday,October,0.9985933218989818
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,October,1.1495142269718759
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,October,1.1696370143149284
"Rural Village, Hamlet and Isolated Dwelling",Thursday,October,0.9508017019592321
"Rural Village, Hamlet and Isolated Dwelling",Friday,October,1.1394528333003495
"Rural Village, Hamlet and Isolated Dwelling",Saturday,October,0.9835012313916924
"Rural Village, Hamlet and Isolated Dwelling",Sunday,October,0.7671812674538777
"Rural Village, Hamlet and Isolated Dwelling",Monday,November,1.0422765394228586
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,November,1.1774345944103615
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,November,1.156641047489207
"Rural Village, Hamlet and Isolated Dwelling",Thursday,November,1.1202523403771871
"Rural Village, Hamlet and Isolated Dwelling",Friday,November,1.174835401045217
"Rural Village, Hamlet and Isolated Dwelling",Saturday,November,1.0162846057714157
"Rural Village, Hamlet and Isolated Dwelling",Sunday,November,0.7875555896387185
"Rural Village, Hamlet and Isolated Dwelling",Monday,December,0.9759551861380477
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,December,0.9960779734811003
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,December,1.0011086703168635
"Rural Village, Hamlet and Isolated Dwelling",Thursday,December,0.9457710051234689
"Rural Village, Hamlet and Isolated Dwelling",Friday,December,1.1067533038678892
"Rural Village, Hamlet and Isolated Dwelling",Saturday,December,0.9357096114519426
"Rural Village, Hamlet and Isolated Dwelling",Sunday,December,0.7747273127075224
Urban Conurbation,Monday,January,0.9497413595360504
Urban Conurbation,Tuesday,January,1.0033603912455933
Urban Conurbation,Wednesday,January,0.9919520866265416
Urban Conurbation,Thursday,January,1.006212467400356
Urban Conurbation,Friday,January,0.9868183495479683
Urban Conurbation,Saturday,January,0.8499186941193484
Urban Conurbation,Sunday,January,0.5818235355716345
Urban Conurbation,Monday,February,0.9656111261400527
Urban Conurbation,Tuesday,February,0.9902408409336839
Urban Conurbation,Wednesday,February,1.0072921819446594
Urban Conurbation,Thursday,February,1.02371199180708
Urban Conurbation,Friday,February,1.064761516463132
Urban Conurbation,Saturday,February,0.8854066702736128
Urban Conurbation,Sunday,February,0.6403725846344104
Urban Conurbation,Monday,March,1.0484231944908473
Urban Conurbation,Tuesday,March,1.0655356514194247
Urban Conurbation,Wednesday,March,1.1448233685218336
Urban Conurbation,Thursday,March,1.0849297692718125
Urban Conurbation,Friday,March,1.11972509835992
Urban Conurbation,Saturday,March,0.8624678292003052
Urban Conurbation,Sunday,March,0.6793645400645262
Urban Conurbation,Monday,April,0.9377816535270779
Urban Conurbation,Tuesday,April,1.0250171561807595
Urban Conurbation,Wednesday,April,1.0014399933013862
Urban Conurbation,Thursday,April,1.0845494924511774
Urban Conurbation,Friday,April,1.050362606276086
Urban Conurbation,Saturday,April,0.8965216184881745
Urban Conurbation,Sunday,April,0.7214611841088268
Urban Conurbation,Monday,May,1.007923713093214
Urban Conurbation,Tuesday,May,1.0410077964884636
Urban Conurbation,Wednesday,May,1.0706693884979979
Urban Conurbation,Thursday,May,1.1071759632789633
Urban Conurbation,Friday,May,1.040437381257511
