,5395,8626,7560,8467,3849,8317,5450,9121,5545,8243,6266,9052,7900,9971,5246,8236,7024,8829,5658,8419,7741,9134,7739,9001,5439,8995,8086,8967,4526,8767,7940,3527,4297,1792,7016,2986,7973,890,1800,6578,171,7731,2980,7030,2018,5892,974,8084,3482,7504,2072,5129,545,7965,2925,7541,2129,6423,1103,114,7627,3009,5275,2337,6061,2470,5615,1169,3967,668,5921,3134,7017,3506,7680,3310,7850,2814,7108,3367,5738,6063,252,4357,26,4336,1192,7429,744,5796,1354,1415,2638,781,370,1718,3723,4296
7024,-,-,-,-,-,-,58(1.03),-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2(0.96)
8829,-,-,-,-,-60(0.91),-,49(1.04),-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.96)
5658,-,-,-,-,-,-,60(1.11),-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-47(0.91),-,-,-,-,-,-,-,-33(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1(0.97)
8419,-,-,-,-,-,-,60(1.07),-,-,-,-,-,-,-,56(0.91),-,-,-,-,0.0,-,-,-,-,-,-,-51(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-56(0.92),-,-,-,-,-46(0.9),-,-,-56(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-55(0.9),-,-49(0.9),-,-55(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1(0.98)
7741,-,-,-,-,-,-,60(1.07),-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-49(0.91),-,-,-,-,-,-,-,-47(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-3(0.96)
9134,-,-,-,-,-,-,60(1.07),-,-,-,-,-,-,-,54(0.9),-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-54(0.92),-,-,-,-,-,-,-,-46(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-45(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.98)
7739,-,-,-,60(0.9),-,-,60(1.07),60(0.93),-,-,60(0.92),-,-,-,60(1.01),60(0.91),-,60(0.91),-,-,-,-,0.0,-60(0.95),-,-60(0.92),-60(1.0),-60(0.99),-60(0.95),-,-60(0.99),-,-,-60(0.93),-,-60(0.9),-60(0.9),-,-60(0.92),-60(0.93),-60(1.01),-60(0.96),-60(1.0),-,-60(0.92),-60(1.01),-60(0.92),-,-60(1.01),-60(0.97),-,-,-60(0.92),-60(0.92),-,-,-,-,-60(0.94),-,-60(0.9),-,-60(0.94),-,-,-,-60(0.94),-,-60(0.93),-60(0.92),-,-60(0.94),-60(1.0),-,-60(0.91),-60(0.92),-60(0.92),-60(1.02),-60(0.94),-60(1.0),-60(1.01),-60(1.02),-,-,-,-60(1.03),-60(0.94),-60(0.92),-,-,-,-60(0.93),-,-60(0.93),-60(0.95),-59(0.91),-60(0.91),-2(0.96)
9001,-60(0.94),-,-,-,-60(0.93),-60(0.91),53(1.12),-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.95),0.0,-,-,-,-,-,60(0.9),-,-,60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.91),-,-,-,60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.91),-,-,-,-,-,-,-,-,60(1.05)
5439,-,-,-,-,-,-,49(1.03),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.96)
8995,-60(0.91),-,-,-,-60(0.91),-,56(1.04),-,-60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,0.0,-,-,-,-,-,-,60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.95)
8086,-60(0.99),-,-,-,-60(0.98),-60(0.98),39(1.07),-,-60(0.98),-60(0.92),-,-,-,-,-,-,-,-,-,-51(0.9),-,-,-60(1.0),-,-,-,0.0,56(0.9),-,60(0.96),-,-,60(0.98),-,-,-,-,60(0.91),-,-,-,-,-,60(0.93),-,-,-,-,-,-,54(0.92),53(0.93),-,-,-,-,60(0.91),60(0.97),-,-,-,60(0.97),-,-,-,60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.92),58(0.92),-,-,-,60(0.96),49(0.91),-,-,-,-,-,-,-,60(1.12)
8967,-60(0.95),-,-,-,-60(0.98),-60(0.97),60(1.03),-,-60(0.95),-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-60(0.99),-,-,-,56(0.9),0.0,-,-,-,-,60(0.96),-,-,-,-,-,-,-,-58(0.92),-,-,-,-,-,-,-,-57(0.92),-,-,-,-,-,-,-,46(0.9),-,-,-,-,56(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-44(0.9),-,-,-,-55(0.91),-,52(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,60(1.79)
4526,-60(0.94),-,-,-,-60(0.94),-60(0.93),50(1.06),-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.95),-,-,-,-,-,0.0,60(0.91),-,-,60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.91),-,-,-,60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45(0.91),-,-,-,-,-,-,-,-,60(1.04)
8767,-,-,-,-,-,-,60(1.1),-,-,-,-,-,-,-,60(0.96),-,-,-,-,-,-,-,-,60(0.9),-,-,60(0.96),-,60(0.91),0.0,-60(0.93),-,-,-,-,-,-,-,-,-,-60(0.98),-60(0.91),-60(0.95),-,-,-60(0.96),-,-,-60(0.97),-60(0.93),-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-60(0.9),-,-,-,-,-,-60(0.95),-,-,-,-,-60(0.96),-,-60(0.96),-60(0.95),-60(0.97),-,-,-,-60(0.94),-,-,-,-,-,-,-,-,-,-,-,0(0.98)
7940,-60(0.98),-,-,-,-60(0.98),-60(0.95),60(1.04),-,-60(0.96),-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-60(0.99),-,-,-,-,-,-,-60(0.93),0.0,-,60(0.97),-,-,-,-,60(0.9),-,-,-,-,-,53(0.91),-,-,-,-,-,-,-,47(0.9),-,-,-,-,60(0.9),60(0.94),-,-,-,60(0.95),-,-,-,55(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.92),55(0.9),-,-,-,60(0.93),-,-,-,-,-,-,-,-,60(1.14)
3527,-,-,-,0(0.91),-,-,56(1.13),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,0(0.91),-,-38(0.91),-,-,-,-,-,-,-,-34(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.9),-,-,-,-,-,-,-,0(0.9),-,-,-,-,-,-,-,-,60(0.95)
4297,-,-,-,-,-,-,60(1.06),60(0.92),-,-,60(0.9),-,-,-,60(0.99),-,-,-,-,-,-,-,-,60(0.93),-,60(0.9),60(0.98),60(0.96),60(0.93),-,60(0.97),-,0.0,-60(0.91),-,-,-,-,-60(0.9),-60(0.91),-60(0.99),-60(0.94),-60(0.98),-,-60(0.91),-60(0.99),-60(0.91),-,-60(0.99),-60(0.95),-,-,-60(0.91),-60(0.91),-,-,-,0(0.91),-60(0.93),-,-,-,-60(0.92),-,-,-,-60(0.92),-,-60(0.92),-60(0.91),-,-60(0.93),-60(0.98),-,-,-60(0.91),-60(0.91),-60(1.0),-60(0.93),-60(0.98),-60(0.98),-60(1.0),-,-,-,-60(1.0),-60(0.92),-60(0.9),-,-,-,-60(0.91),-,-60(0.92),-60(0.93),-,-60(0.9),60(0.98)
1792,-60(0.92),-,-,-,-60(0.92),-47(0.9),49(1.1),-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-60(0.91),0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.97)
7016,-,-,-,-,-,-,58(1.1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-42(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.94)
2986,-,-,-,-,-60(0.91),-60(0.9),38(1.01),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.99)
7973,-,-,-,-,-60(0.91),-59(0.9),40(1.03),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.99)
890,-,-,-,-,-,-,60(1.03),-,-,-,-,-,-,-,60(0.92),-,-,-,-,-,-,-,-,-,-,-,60(0.91),-,-,-,60(0.9),-,-,-,-,-,-,0.0,-,-,-60(0.93),-,-60(0.91),-,-,-60(0.91),-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-60(0.92),-,-60(0.91),-60(0.91),-60(0.92),-,-,-,-57(0.91),-,-,-,-,-,-,-,-,-,-,-,60(0.96)
1800,-54(0.9),-,-,0(0.92),-60(0.92),-47(0.9),53(1.12),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,0(0.91),-60(0.9),-,-,-,-,-,0.0,-,-38(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.91),-,-,-,-,-,-,-,0(0.92),-,-,-,-,-,-,-,-,60(1.01)
6578,-60(0.92),-,-,-,-60(0.92),-60(0.91),39(1.05),-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.99)
171,-60(1.01),-,-50(0.91),-37(0.91),-60(1.0),-60(1.0),27(1.05),-,-60(1.0),-60(0.94),-,-,-56(0.91),-58(0.91),-,-,-,-,-47(0.91),-56(0.92),-49(0.91),-54(0.92),-60(1.01),-,-,-,-,-58(0.92),-,-60(0.98),-,-38(0.91),-60(0.99),-,-42(0.9),-,-,-60(0.93),-38(0.91),-,0.0,-,-,60(0.95),-,-,-,60(0.91),-,-,59(0.94),60(0.95),-,-,-,-,60(0.91),60(0.99),-,49(0.91),-,60(0.98),-,47(0.91),-,60(0.95),-,-,-,-,49(0.92),-,-,59(0.92),-,-,-,-,-,-,-,-,-,60(0.94),60(0.94),-,-,-,60(0.98),60(0.93),60(0.91),48(0.9),-,-,-,-,-,60(1.18)
7731,-60(0.95),-,-,-,-60(0.94),-60(0.92),60(1.04),-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.96),-,-,-,-,-,-,-60(0.91),-,-,-60(0.94),-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.92),-,-,-,60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.91),-,-,-,-,-,-,-,-,60(1.03)
2980,-60(1.0),-,-,-,-60(0.99),-60(0.98),39(1.14),-,-60(0.98),-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-60(1.0),-,-,-,-,-,-,-60(0.95),-,-,-60(0.98),-,-,-,-,-60(0.91),-,-,-,-,0.0,53(0.93),-,-,-,-,-,-,50(0.93),47(0.92),-,-,-,-,60(0.91),60(0.96),-,-,-,60(0.97),-,-,-,56(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.9),-,-,60(0.92),55(0.92),-,-,-,60(0.95),45(0.9),-,-,-,-,-,-,-,60(1.15)
7030,-,-,-,-,-,-,60(1.09),-,-,-,-,-,-,-,60(0.93),-,-,-,-,-,-,-,-,-,-,-,60(0.93),-,-,-,53(0.91),-,-,-,-,-,-,-,-,-,60(0.95),-,53(0.93),0.0,-,-60(0.93),-,-,-60(0.94),-53(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50(0.93),-,-,-,-,-60(0.93),-,-60(0.93),-53(0.93),-60(0.94),-,-,-,-51(0.91),-,-,-,-,-,-,-,-,-,-,-,-1(0.96)
2018,-60(0.91),-,-,-,-60(0.92),-59(0.9),49(1.04),-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.97)
5892,-60(1.0),-,-,-,-60(1.0),-60(0.97),60(1.04),-,-60(0.98),-60(0.93),-,-,-,-,-,-,-,-,-,-46(0.9),-,-,-60(1.01),-,-,-,-,-,-,-60(0.96),-,-,-60(0.99),-,-,-,-,-60(0.91),-,-,-,-,-,-60(0.93),-,0.0,-,60(0.9),-,-,56(0.91),53(0.92),-,-,-,-,60(0.91),60(0.96),-,-,-,60(0.97),-,-,-,60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.93),57(0.92),-,-,-,60(0.96),48(0.91),-,-,-,-,-,-,-,60(1.23)
974,-60(0.92),-,-,-,-60(0.92),-60(0.91),49(1.03),-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-6(0.95)
8084,-,-,-,-,-,-,60(1.03),-,-,-,-,-,-,-,60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.91),-,-,-,-,60(0.9),-,0.0,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.91),-,-60(0.9),-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4(0.96)
