r,t,solar,f0,f1
2.6910117056856246,7.2188301886792114,12000,27967.8986571,28083.0292666
1.7842452629337868,7.847608200455586,12000,28252.8527849,28369.5429832
0.4562071116656261,7.31085801063022,12000,28543.6248397,28661.6580608
0.3047276464542647,7.889909909909912,12000,28831.3110597,28950.5839495
0.1449690237128821,8.11723672367236,12000,29116.9907108,29237.486868
1.4217773019271949,9.54480752014322,12000,29397.2762041,29519.4354442
0.5309976500747691,11.538192552225235,12000,29644.8759808,29767.2245758
0.2499574468085101,12.67121350364963,12000,29918.5023311,30042.4174316
2.2075662042875237,12.641523895401267,12000,30207.3778038,30333.6048571
1.8467131684633271,9.767434507678404,12000,30490.0402994,30617.6584985
5.6539014590822525,10.11391382405743,12000,30771.3844786,30901.1727804
3.25393794749404,8.410859728506795,12000,31047.7678633,31179.3760954
