ID,energyConsumed,initialSOC,finalSOC,chargesPerDay,tripsPerDay,tripLength
GC04,1241.5326301911668,0.6863753213367606,0.9010282776349613,0.7190388170055453,2.804066543438078,7816.411338167436
GC01,850.9953703703703,0.5276506483600304,0.8482074752097635,0.8107606679035251,5.8483754512635375,5191.9
CRG02,2097.9105229993697,0.607981220657277,0.9518779342723006,0.9085923217550275,2.572123176661264,14199.95904221802
ST1001,1698.0360615883305,0.4966475095785445,0.894476372924649,0.9595588235294118,4.218803418803419,10280.836304700162
ST1023,1792.2335045436587,0.5123456790123452,0.9660493827160496,0.994475138121547,4.495559502664299,10820.745950217306
ST1052,943.6976047904192,0.39197530864197516,0.9166666666666665,0.31094049904030713,3.2364341085271318,6279.6179640718565
JD01,1762.8865069356873,0.6011627906976744,0.7961240310077526,1.524822695035461,3.7142857142857144,9721.029634300126
SS08,890.2574791564492,0.4574155653450808,0.8950073421439059,0.4503968253968254,4.15274949083503,5936.235409514468
JD06,1508.6169696969696,0.4845360824742269,0.945876288659794,0.604989604989605,3.473684210526316,8414.065454545454
JD07,974.8671023965142,0.5083333333333334,0.9761904761904765,0.39399624765478425,3.457627118644068,6629.738562091503
CRG04,984.2016241949034,0.4441896024464829,0.8572247706422023,0.7985347985347986,6.146299483648881,5556.84374124895
ST1035,1941.9374100719424,0.5940594059405943,0.956270627062706,0.9711538461538461,3.3493975903614457,9836.759712230216
BL03,1785.4668838219327,0.5397222222222217,0.8450000000000017,0.5649717514124294,1.7182835820895523,12400.7003257329
WC09,2352.3616883116883,0.6377713920817374,0.9401340996168585,0.9577981651376147,2.673611111111111,12999.81103896104
JD02,1775.7377501725327,0.5953703703703704,0.9379629629629629,0.8450704225352113,3.0569620253164556,12111.176673567978
ST1046,1085.6786632390745,0.33119658119658124,0.9341880341880344,0.3611111111111111,3.608534322820037,6301.811311053984
SS205,900.1721336142041,0.40177923021060247,0.8031953522149602,0.8422018348623853,5.501655629139073,5904.906108937706
ST1060,1979.6626506024097,0.5992424242424241,0.9316287878787877,0.9166666666666666,3.8686440677966103,11419.72891566265
JD04,2365.7886904761904,0.33895348837209316,0.8585271317829458,0.7875457875457875,3.712707182320442,13003.735119047618
ST1061,2862.5971910112357,0.41855072463768195,0.8420289855072463,1.0511882998171846,2.991596638655462,17852.49157303371
YH01,771.232945932289,0.630447585394582,0.9128386336866902,0.5183150183150184,3.359932088285229,4280.046488125316
BL02,2034.1985663082437,0.6829710144927527,0.9730072463768115,0.9181636726546906,2.7569169960474307,13293.526164874553
ST1066,1197.3262764632627,0.5073987538940811,0.9139408099688469,0.44123711340206184,3.2775510204081635,8264.015566625156
YH14,552.0749108204518,0.3650362318840581,0.9365942028985508,0.17100371747211895,3.103321033210332,3593.8240190249703
YH13,1071.1678769756513,0.5667098445595856,0.9326424870466322,0.7095588235294118,4.256363636363637,7158.986330627937
SW06,1597.327661909989,0.3823272090988629,0.7707786526684162,0.7681451612903226,3.6513026052104207,9588.59165751921
SS211,1398.1990251827783,0.40959725792630725,0.8918166238217649,0.7339622641509433,4.357522123893805,8878.671405361494
