t,lf,lm,bl
582,0.06945956125858718,0.055000081043763874,0.055
583,0.06933319905802315,0.055000071832214295,0.055
584,0.06856774523696028,0.055000064102545335,0.055
585,0.06845471145968424,0.05500004224935665,0.055
586,0.06847717871310612,0.05500004046403497,0.055
587,0.06899920926977997,0.05500004278431492,0.055
588,0.06886295235886918,0.05500003407031294,0.055
589,0.06888450247928359,0.05500003319509988,0.055
590,0.06931060002688472,0.055000036348188085,0.055
591,0.06929034138794483,0.055000035952912446,0.055
592,0.0691389504577138,0.05500004353691294,0.055
593,0.06936897654132182,0.055000040679762184,0.055
594,0.06937401098837383,0.05500004195741021,0.055
595,0.06945285300987748,0.055000039544333516,0.055
596,0.06945460754865414,0.055000046245258616,0.055
597,0.06945816304501036,0.05500004619241082,0.055
598,0.06945414527675081,0.055000046182819014,0.055
599,0.06930565728662565,0.05500004598532573,0.055
600,0.06944534635626219,0.055000042722519966,0.055
601,0.06928068014716215,0.055000042917836216,0.055
602,0.06918288812193152,0.05500004192011624,0.055
603,0.06907869237384966,0.05500004214898446,0.055
604,0.06944486711107234,0.05500004588049204,0.055
605,0.06933983162169301,0.05500004757186688,0.055
606,0.0694504138434449,0.055000143401976294,0.055
607,0.06943045282428746,0.05500010493235123,0.055
608,0.06943197643048667,0.05500006303916207,0.055
609,0.06944350656072122,0.055000069076331266,0.055
610,0.06943809719067282,0.055000068172023,0.055
611,0.06944544940282263,0.05500012240372744,0.055
612,0.06945752570841165,0.05500012546335309,0.055
613,0.06944059679958452,0.055000122404570785,0.055
614,0.06943514408333532,0.0550001261449626,0.055
615,0.06927743957533665,0.055000055289292776,0.055
616,0.06944197718896541,0.055000054458400824,0.055
617,0.06944419297408115,0.05500002901242049,0.055
618,0.06944187776486276,0.055000049238429743,0.055
619,0.06943733802891942,0.05500004924144585,0.055
620,0.069297824148025,0.05500494129712716,0.055
621,0.06931630111577357,0.05500494311315821,0.055
622,0.06928369162903093,0.05500603496787055,0.055
623,0.06930912060499239,0.055005431670530666,0.055
624,0.06924056104787017,0.055006906411676465,0.055
625,0.06925984700469526,0.05500690899102558,0.055
626,0.06941878921545408,0.05500459942566994,0.055
627,0.06946237942307165,0.05500482253172677,0.055
628,0.0694554234428604,0.055005010155419296,0.055
629,0.06944047289309495,0.05500667812918509,0.055
630,0.06943472853130742,0.05500004187890041,0.055
631,0.06943546515626176,0.05500004069251278,0.055
632,0.06943792293468742,0.05500004018873197,0.055
633,0.0694091788888504,0.05500405148936631,0.055
634,0.06946140190502606,0.05500407329596176,0.055
635,0.06936195592195463,0.12493284083056408,0.055
636,0.06928542684532611,0.11693579547167701,0.055
637,0.06927623188048197,0.12142245604708046,0.055
638,0.0691183026369511,0.10739382862761906,0.055
639,0.06911093354010231,0.11660388783593414,0.055
640,0.06885303398614845,0.08126425409998704,0.055
641,0.06889805061680307,0.1587065843669846,0.055
642,0.06838392136301562,0.05500041738367118,0.055
643,0.06886272793532416,0.05500408047098955,0.055
644,0.06883015811921699,0.055002303078447314,0.055
645,0.06931352675339437,0.2443859948987084,0.055
646,0.06929472663142106,0.20372125081970596,0.055
647,0.2512513550374529,0.23700504280376813,0.237
648,0.2512895272363173,0.2370027232094793,0.237
649,0.25126654868196796,0.23700062971556654,0.237
650,0.2513424541166815,0.23700022117774333,0.237
651,0.25130332289697,0.23700016109585992,0.237
652,0.2509455425448354,0.23700017916944818,0.237
653,0.25026757339504274,0.2370000373292637,0.237
654,0.2479720584297903,0.23700005443564137,0.237
655,0.24823185602910267,0.23700005606805796,0.237
656,0.2479307636948821,0.23700005233524932,0.237
657,0.24859826808713573,0.23700005928732218,0.237
658,0.2487267379312626,0.23700005495293966,0.237
659,0.24644510034808637,0.2370000515331001,0.237
660,0.24254605534891363,0.23700002538739917,0.237
661,0.24267908736192942,0.23700002568230047,0.237
662,0.24205712745010083,0.2370000256689184,0.237
663,0.2476652657767038,0.23700004512512468,0.237
664,0.247741646872722,0.23700004469071978,0.237
665,0.24782346472021005,0.23700004356308316,0.237
666,0.24775514760007294,0.2370000396847261,0.237
667,0.2429979832511862,0.23700003065195255,0.237
668,0.24500501823312953,0.23700003732146396,0.237
669,0.06345209870611336,0.05500004111246622,0.055
670,0.06689225894457189,0.05500006568843218,0.055
671,0.06721626476241417,0.055000058535063595,0.055
672,0.06592849756509946,0.05500003527961931,0.055
673,0.06800235784608327,0.05500003109766012,0.055
674,0.06777489410730277,0.055000031107418725,0.055
675,0.06792359556904604,0.05500003159336415,0.055
676,0.06800539160095027,0.05500003102856544,0.055
677,0.06803251147346506,0.05500003075127189,0.055
678,0.06789673312688896,0.05500003195740167,0.055
679,0.06789673312688896,0.05500003195740167,0.055
680,0.06705068150663195,0.05500003498088634,0.055
681,0.06775264914438164,0.055000034658418594,0.055
682,0.06781714981969086,0.0550000344141736,0.055
683,0.06847747625253768,0.055000031537529595,0.055
684,0.06851308831403882,0.055000033165432526,0.055
685,0.06854593818714458,0.055000035541699695,0.055
686,0.06906480029333398,0.05500003559529552,0.055
687,0.06905119453457263,0.05500003489187054,0.055
688,0.06910552240256622,0.05500003769356394,0.055
